cluster_id,size,name,description,keywords,causal_summary,evidence_bullets,limitations,top_phase,purity_reference_col,purity_context
15,1246,Taxi - Deviation / Discrepancy - Procedural Published Mat...,Incidents in Taxi. Common theme: Deviation / Discrepancy - Procedural Published Material / Po. Aircraft: Commercial Fixed Wing.,"aircraft, runway, taxiway, taxi, gate, ground, ramp, crew","Cluster 15 contains 1246 reports, mostly in the taxi phase. Likely cause drivers are procedural compliance / SOP adherence, airspace conflict / traffic separation. The recurring event pattern is deviation / discrepancy - procedural published mat.... Evidence appears in repeated terms: aircraft, runway, taxiway, taxi, gate, ground. Operationally, this points to a repeatable risk pathway where similar triggers are producing similar outcomes across reports in the same cluster. The cluster should be treated as a targeted risk theme for focused mitigations, crew briefing updates, and short-cycle trend monitoring. This is an inferred causal pattern from clustered reports, not a proven single root cause.","Phase: Taxi | Anomaly / theme: Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Loss Of Aircraft Control | Aircraft context: Commercial Fixed Wing | Key terms: aircraft, runway, taxiway, taxi, gate, ground, ramp, crew | Dominant anomaly_normalized: airspace_conflict (47.1% of this cluster)",Descriptive only; not proven root cause. Ground claims in Narrative/Synopsis and fields above.,Taxi,anomaly_normalized,Dominant anomaly_normalized: airspace_conflict (47.1% of this cluster)
23,769,Final Approach - Conflict NMAC; Deviation / Discrepancy -...,Incidents in Final Approach. Common theme: Conflict NMAC; Deviation / Discrepancy - Procedural Publishe. Aircraft: Skyhawk 172/Cutlass 172.,"aircraft, runway, traffic, pattern, tower, final, takeoff, pilot","Cluster 23 contains 769 reports, mostly in the final approach phase. Likely cause drivers are procedural compliance / SOP adherence, ATC communication / coordination. The recurring event pattern is conflict nmac; deviation / discrepancy -.... Evidence appears in repeated terms: aircraft, runway, traffic, pattern, tower, final. Operationally, this points to a repeatable risk pathway where similar triggers are producing similar outcomes across reports in the same cluster. The cluster should be treated as a targeted risk theme for focused mitigations, crew briefing updates, and short-cycle trend monitoring. This is an inferred causal pattern from clustered reports, not a proven single root cause.","Phase: Final Approach | Anomaly / theme: Conflict NMAC; Deviation / Discrepancy - Procedural Published Material / Policy | Aircraft context: Skyhawk 172/Cutlass 172 | Key terms: aircraft, runway, traffic, pattern, tower, final, takeoff, pilot | Dominant anomaly_normalized: airspace_conflict (93.1% of this cluster)",Descriptive only; not proven root cause. Ground claims in Narrative/Synopsis and fields above.,Final Approach,anomaly_normalized,Dominant anomaly_normalized: airspace_conflict (93.1% of this cluster)
17,589,Cruise - Inflight Event / Encounter Wake Vortex Encounter,Incidents in Cruise. Common theme: Inflight Event / Encounter Wake Vortex Encounter. Aircraft: B737 Undifferentiated or Other Model.,"turbulence, aircraft, wake, flight, wake turbulence, approach, altitude, atc","Cluster 17 contains 589 reports, mostly in the cruise phase. Likely cause drivers are ATC communication / coordination, airspace conflict / traffic separation. The recurring event pattern is inflight event / encounter wake vortex encounter. Evidence appears in repeated terms: turbulence, aircraft, wake, flight, wake turbulence, approach. Operationally, this points to a repeatable risk pathway where similar triggers are producing similar outcomes across reports in the same cluster. The cluster should be treated as a targeted risk theme for focused mitigations, crew briefing updates, and short-cycle trend monitoring. This is an inferred causal pattern from clustered reports, not a proven single root cause.","Phase: Cruise | Anomaly / theme: Inflight Event / Encounter Wake Vortex Encounter | Aircraft context: B737 Undifferentiated or Other Model | Key terms: turbulence, aircraft, wake, flight, wake turbulence, approach, altitude, atc | Dominant anomaly_normalized: other (78.1% of this cluster)",Descriptive only; not proven root cause. Ground claims in Narrative/Synopsis and fields above.,Cruise,anomaly_normalized,Dominant anomaly_normalized: other (78.1% of this cluster)
28,492,Initial Approach - Deviation / Discrepancy - Procedural P...,Incidents in Initial Approach. Common theme: Deviation / Discrepancy - Procedural Published Material / Po. Aircraft: Commercial Fixed Wing.,"approach, altitude, terrain, visual, atc, aircraft, runway, alert","Cluster 28 contains 492 reports, mostly in the initial approach phase. Likely cause drivers are procedural compliance / SOP adherence, ATC communication / coordination. The recurring event pattern is deviation / discrepancy - procedural p.... Evidence appears in repeated terms: approach, altitude, terrain, visual, atc, aircraft. Operationally, this points to a repeatable risk pathway where similar triggers are producing similar outcomes across reports in the same cluster. The cluster should be treated as a targeted risk theme for focused mitigations, crew briefing updates, and short-cycle trend monitoring. This is an inferred causal pattern from clustered reports, not a proven single root cause.","Phase: Initial Approach | Anomaly / theme: Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT | Aircraft context: Commercial Fixed Wing | Key terms: approach, altitude, terrain, visual, atc, aircraft, runway, alert | Dominant anomaly_normalized: other (81.9% of this cluster)",Descriptive only; not proven root cause. Ground claims in Narrative/Synopsis and fields above.,Initial Approach,anomaly_normalized,Dominant anomaly_normalized: other (81.9% of this cluster)
0,324,Parked - Deviation / Discrepancy - Procedural Hazardous M...,Incidents in Parked. Common theme: Deviation / Discrepancy - Procedural Hazardous Material Viol. Aircraft: B737 Undifferentiated or Other Model.,"dg, flight, dangerous, goods, dangerous goods, final, aircraft, cargo","Cluster 0 contains 324 reports, mostly in the parked phase. Likely cause drivers are procedural compliance / SOP adherence, airspace conflict / traffic separation. The recurring event pattern is deviation / discrepancy - procedural hazardous m.... Evidence appears in repeated terms: dg, flight, dangerous, goods, dangerous goods, final. Operationally, this points to a repeatable risk pathway where similar triggers are producing similar outcomes across reports in the same cluster. The cluster should be treated as a targeted risk theme for focused mitigations, crew briefing updates, and short-cycle trend monitoring. This is an inferred causal pattern from clustered reports, not a proven single root cause.","Phase: Parked | Anomaly / theme: Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy | Aircraft context: B737 Undifferentiated or Other Model | Key terms: dg, flight, dangerous, goods, dangerous goods, final, aircraft, cargo | Dominant anomaly_normalized: other (92.0% of this cluster)",Descriptive only; not proven root cause. Ground claims in Narrative/Synopsis and fields above.,Parked,anomaly_normalized,Dominant anomaly_normalized: other (92.0% of this cluster)
12,280,Cruise - Aircraft Equipment Problem Critical; Flight Deck...,Incidents in Cruise. Common theme: Aircraft Equipment Problem Critical; Flight Deck / Cabin / A. Aircraft: Commercial Fixed Wing.,"flight, smoke, aircraft, crew, smell, engine, captain, cabin","Cluster 12 contains 280 reports, mostly in the cruise phase. Likely cause drivers are system / equipment reliability, airspace conflict / traffic separation. The recurring event pattern is aircraft equipment problem critical; flight deck.... Evidence appears in repeated terms: flight, smoke, aircraft, crew, smell, engine. Operationally, this points to a repeatable risk pathway where similar triggers are producing similar outcomes across reports in the same cluster. The cluster should be treated as a targeted risk theme for focused mitigations, crew briefing updates, and short-cycle trend monitoring. This is an inferred causal pattern from clustered reports, not a proven single root cause.","Phase: Cruise | Anomaly / theme: Aircraft Equipment Problem Critical; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor | Aircraft context: Commercial Fixed Wing | Key terms: flight, smoke, aircraft, crew, smell, engine, captain, cabin | Dominant anomaly_normalized: system_failure (90.7% of this cluster)",Descriptive only; not proven root cause. Ground claims in Narrative/Synopsis and fields above.,Cruise,anomaly_normalized,Dominant anomaly_normalized: system_failure (90.7% of this cluster)
9,250,Parked - Aircraft Equipment Problem Critical; Deviation /...,Incidents in Parked. Common theme: Aircraft Equipment Problem Critical; Deviation / Discrepancy. Aircraft: Commercial Fixed Wing.,"aircraft, maintenance, engine, flight, oil, control, day, crew","Cluster 9 contains 250 reports, mostly in the parked phase. Likely cause drivers are system / equipment reliability, procedural compliance / SOP adherence. The recurring event pattern is aircraft equipment problem critical; deviation /.... Evidence appears in repeated terms: aircraft, maintenance, engine, flight, oil, control. Operationally, this points to a repeatable risk pathway where similar triggers are producing similar outcomes across reports in the same cluster. The cluster should be treated as a targeted risk theme for focused mitigations, crew briefing updates, and short-cycle trend monitoring. This is an inferred causal pattern from clustered reports, not a proven single root cause.","Phase: Parked | Anomaly / theme: Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Polic... | Aircraft context: Commercial Fixed Wing | Key terms: aircraft, maintenance, engine, flight, oil, control, day, crew | Dominant anomaly_normalized: system_failure (96.8% of this cluster)",Descriptive only; not proven root cause. Ground claims in Narrative/Synopsis and fields above.,Parked,anomaly_normalized,Dominant anomaly_normalized: system_failure (96.8% of this cluster)
32,241,Initial Approach - Deviation / Discrepancy - Procedural P...,Incidents in Initial Approach. Common theme: Deviation / Discrepancy - Procedural Published Material / Po. Aircraft: B737 Undifferentiated or Other Model.,"approach, altitude, visual, aircraft, atc, zzz, flight, runway","Cluster 32 contains 241 reports, mostly in the initial approach phase. Likely cause drivers are procedural compliance / SOP adherence, ATC communication / coordination. The recurring event pattern is deviation / discrepancy - procedural p.... Evidence appears in repeated terms: approach, altitude, visual, aircraft, atc, zzz. Operationally, this points to a repeatable risk pathway where similar triggers are producing similar outcomes across reports in the same cluster. The cluster should be treated as a targeted risk theme for focused mitigations, crew briefing updates, and short-cycle trend monitoring. This is an inferred causal pattern from clustered reports, not a proven single root cause.","Phase: Initial Approach | Anomaly / theme: Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT | Aircraft context: B737 Undifferentiated or Other Model | Key terms: approach, altitude, visual, aircraft, atc, zzz, flight, runway | Dominant anomaly_normalized: other (69.7% of this cluster)",Descriptive only; not proven root cause. Ground claims in Narrative/Synopsis and fields above.,Initial Approach,anomaly_normalized,Dominant anomaly_normalized: other (69.7% of this cluster)
8,233,Parked - Deviation / Discrepancy - Procedural Published M...,Incidents in Parked. Common theme: Deviation / Discrepancy - Procedural Published Material / Po. Aircraft: Commercial Fixed Wing.,"door, slide, flight, gate, agent, aircraft, handle, open","Cluster 8 contains 233 reports, mostly in the parked phase. Likely cause drivers are system / equipment reliability, procedural compliance / SOP adherence. The recurring event pattern is deviation / discrepancy - procedural published m.... Evidence appears in repeated terms: door, slide, flight, gate, agent, aircraft. Operationally, this points to a repeatable risk pathway where similar triggers are producing similar outcomes across reports in the same cluster. The cluster should be treated as a targeted risk theme for focused mitigations, crew briefing updates, and short-cycle trend monitoring. This is an inferred causal pattern from clustered reports, not a proven single root cause.","Phase: Parked | Anomaly / theme: Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown | Aircraft context: Commercial Fixed Wing | Key terms: door, slide, flight, gate, agent, aircraft, handle, open | Dominant anomaly_normalized: system_failure (67.4% of this cluster)",Descriptive only; not proven root cause. Ground claims in Narrative/Synopsis and fields above.,Parked,anomaly_normalized,Dominant anomaly_normalized: system_failure (67.4% of this cluster)
3,194,Cruise - Airspace Violation All Types; Deviation / Discre...,Incidents in Cruise. Common theme: Airspace Violation All Types; Deviation / Discrepancy - Proc. Aircraft: Small UAS (At or above 0.55 lbs and less than 55 l.,"airspace, drone, flight, uas, laanc, authorization, flying, pilot","Cluster 3 contains 194 reports, mostly in the cruise phase. Likely cause drivers are procedural compliance / SOP adherence, airspace conflict / traffic separation. The recurring event pattern is airspace violation all types; deviation / discre.... Evidence appears in repeated terms: airspace, drone, flight, uas, laanc, authorization. Operationally, this points to a repeatable risk pathway where similar triggers are producing similar outcomes across reports in the same cluster. The cluster should be treated as a targeted risk theme for focused mitigations, crew briefing updates, and short-cycle trend monitoring. This is an inferred causal pattern from clustered reports, not a proven single root cause.","Phase: Cruise | Anomaly / theme: Airspace Violation All Types; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / ... | Aircraft context: Small UAS (At or above 0.55 lbs and less than 55 lbs) | Key terms: airspace, drone, flight, uas, laanc, authorization, flying, pilot | Dominant anomaly_normalized: other (83.5% of this cluster)",Descriptive only; not proven root cause. Ground claims in Narrative/Synopsis and fields above.,Cruise,anomaly_normalized,Dominant anomaly_normalized: other (83.5% of this cluster)
