report_id,date,month_key,text,cluster,cluster_label,umap_x,umap_y,vessel_type,flight_phase
2068417.0,2024-01-01,2024-01,GPS Spoofing. Enroute today from ZZZ to SOF; we were just north of Egypt approaching LAKTO intersection on our filed route; both of our iPads showed the airplane directly over OLBA Beirut International Airport. The event lasted 5 minutes. We verified the exact location of the airplane and we were on course. Airplane was never off course. Only our iPads were affected.,3,Cluster 3,-0.7143017,4.483638,Air Carrier,Cruise
2068539.0,2024-01-01,2024-01,I was enroute southeast bound on T208 VFR; in VMC conditions; not with flight following; at 7;500 ft. Roughly around FORNI intersection located on V3; I was navigating on T208; roughly 3 or 4 miles northwest of MALET intersection; I received an ADS-B In traffic advisory for traffic 12 o' clock; less than 1 NM; same altitude. It is important to note that the traffic was not on my display prior to this alert. I saw the traffic on ADS-B appear on my map as if their ADS-B Out just started to work. Upon receiving this alert; I checked my map to determine the direction of the traffic; and recognized that it was in the opposite direction on the same airway at my exact altitude. I disconnected my autopilot and checked ahead to find the traffic to ensure that I don't take an evasive maneuver into the traffic in case it was slightly off course from where I was. I identified the traffic after a few seconds as Aircraft Y. I estimate that I observed the traffic closing at less than ½ mile at the time I found it. I recall that while it was a good VMC day - the sun was blocked to make the aircraft not very reflective to identify easily.Once I recognized that I was on a direct collision course I made an immediate right bank turn to avoid the traffic. I recall from the point I made the bank to the point it passed me was roughly 3 seconds. I continued to observe the traffic to determine if the pilot of that aircraft also took evasive action. They did not. I do not believe the pilot of that aircraft was paying attention; and is still unaware that anything happened on that flight. After recovering the aircraft and reestablishing a flight path with autopilot engaged; I attempted to contact the aircraft on 121.5 as I had its tail number listed on my ADS-B as Aircraft Y. Attempting to contact twice; they did not respond. I then contacted Daytona Approach on 125.35 who then directed me to Orlando Approach for the location I was in - I do not recall the frequency. Orlando Approach informed me that he was not talking to that aircraft. After the flight; I reviewed the ADS-B data online to estimate how close we actually got; as well as altitudes and ground tracks. I was able to verify we were on the same airway going in opposite directions at the same GPS altitude; and at my estimated point of closest approach; we were 300 to 400 ft. after my evasive maneuver. I firmly believe that we were on a nose-to-nose collision course.It is my understanding that there is an LOA (Letter of Agreement) for the eastern sector air traffic controllers in Florida that for IFR traffic heading northbound; they fly at odd thousand altitudes and southbound flies even thousand altitudes; which is in contrast to the normal eastern tracks being odd and western tracks being even. This is to avoid all airline traffic and IFR traffic from having to change altitude as they go north along the east coast.Due to this LOA; I wanted to clarify with ATC if there was a written document; NOTAM; or AC of some kind that applies this to VFR traffic as well. The ATC controller informed me that they do the reverse of even and odd thousand altitudes for IFR traffic; and they also do it for VFR flight following traffic. They said that northbound will be odd thousand plus 500 and southbound would be even thousand plus 500. This directly contradicts AIM 3-1-5.The controller further reminded me that VFR traffic can technically fly whatever altitude they want as they are not being controlled. I asked them for a reference specific to this swapping of altitudes; they responded with that it was only in the LOA amongst controlling agencies. I can recognize and understand the IFR altitudes being opposite of what is considered normal because all IFR aircraft are controlled and provided separation. However; I think that this LOA - I could not find the LOA the controller referenced - is a danger to all VFR traffic whether they are on flight following or not. An aircraft on flight following is not required to be given traffic alerts if the controller is saturated and this incident I encountered could have happened whether the oncoming aircraft was on flight following or not; because according to ATC they would have assigned that type of altitude to that aircraft.Some pilots do flight following some days; and other days not. They could one day get an instruction to fly the wrong altitude and be given that LOA information by ATC; and could begin to regularly fly at opposite direction altitude which will increase the chances of a mid-air collision. Ultimately; ATC is utilizing this LOA to reduce the altitude changes that happens at the Florida/Georgia border; which for IFR traffic congestion is sensible; but not for VFR traffic. The amount of risk associated with the LOA applying to their VFR flight following traffic is too high as opposed to them assigning a new altitude for those few VFR flights that cross the border as they continue northeast bound or southeast bound.If one thing could come out of this report to make me feel safe flying cross-country along the east coast; flight following or not; is to get rid of ATC's VFR cruise altitude LOA. The risk associated with wrong altitude flying is too high; and these altitudes take place in some of the busiest airspace in the world with all the airline traffic; VFR personal traffic; as well as training flights at flight schools who are being instructed the proper altitudes but then are given opposite altitudes from ATC. The only reason that this mid-air did not happen is because I heard an alert; saw the traffic; and evaded.,-1,Noise,2.0306041,4.377831,Personal,Cruise
2068582.0,2024-01-01,2024-01,The aircraft wanted to stay low and I was vectoring them around terrain. I issued a right hand turn; when I ment to turn them left. My D-side brought my mistake to my attention and I turned the aircraft away from the terrain and climbed them above it. The aircraft still entered the higher MIA area. I should have climbed the aircraft much earlier. It would have saved me the work of vectoring the aircraft.,16,Cluster 16,1.1216655,3.0573552,Personal,Cruise
2068650.0,2024-01-01,2024-01,"To be clear; I am filing this report at the request of the ORD Ground Controller. ORD Ground stated there was no issue or violation against us. However; they requested that we file this incident presumably to raise awareness. During taxi we were given instructions to taxi to Runway 22L via U; B; V. As I taxied the aircraft and entered the U/B intersection I stopped the aircraft before I committed to making the left turn onto B. I stopped because my mental picture; the airport diagram; and what I was physically looking at did not match. When on U taxiway the turn angle to B looked much larger than depicted on the chart. There is no B taxiway sign at that intersection which added to the confusion. Since I became unsure of when to turn I stopped the aircraft and asked my First Officer to clarify the taxi instruction with Ground Control. As I stopped; Ground Control called us and said; Make that left turn there if you can."" I made the turn then continued taxiing to Runway 22L. Ground then asked us if we could file a report about it. He stated we were OK and there were no issues with us; just asked we file a report - presumably to highlight the ambiguity and difficulty of navigating that intersection. Again; based on my displayed chart; my expectation and what I was seeing; plus lack of taxiway signage; it led to a situation where I stopped the aircraft and needed clarification from Ground Control on where B taxiway was. That intersection is VERY confusing when taking into consideration how it looks on the chart; what it looks like in person; and not having adequate taxiway markings/signs.""",27,Cluster 27,5.1411295,6.0771527,Air Carrier,Taxi
2068838.0,2024-01-01,2024-01,The aircraft I was flying was in a right downwind for Runway XX and was turning base. There was another aircraft with a similar call sign; also a PA28-181; on final for the same runway. There was no guidance regarding the position of the other traffic from the tower. We were given an instruction to extend downwind while already on base and after evasive action was taken to avoid the plane on final.,32,Cluster 32,2.4834883,4.9440413,FBO,Landing
2068839.0,2024-01-01,2024-01,We were on a training flight doing pattern work at ZZZ. We had been cleared for touch and go Runway XXL. We were in the upwind from that touch and go and were about to turn crosswind from the runway. We were at approximately 700 ft. MSL when I saw another aircraft coming right at us at what appeared to be our same altitude. I advised tower that there was an aircraft coming straight at us and the controller paused and then later acknowledged with 'roger.'We immediately began a left crosswind turn and the other aircraft made a left turning circle. While we were in the downwind tower advised the other aircraft that they were supposed to stay southeast of the airport. We completed the traffic pattern and landed full stop on Runway XXL to complete our flight.,32,Cluster 32,3.0239544,4.7947245,FBO,Initial Climb
2068927.0,2024-01-01,2024-01,I was on break as one of the relief pilots at the time; but our airplane was jammed at approximately XA:00 and we lost both of our GPS's. Dispatch advised us to expect jamming as we neared Israel. We had experienced the jamming the day prior on the route to DXB. Unlike the day prior; our GPS's did not return for the remainder of the flight (11 hours). Since the GPS's were out we didn't have ADS-B. Location: Cairo FIR,3,Cluster 3,-0.7234317,4.5026455,Air Carrier,Cruise
2069159.0,2024-01-01,2024-01,This was one problem of many going on in this sector at the same time. There was a safety event in the South Area which affected multiple sectors. A drone inbound to ZZZ; was at 51000 ft. southbound from Sector X; through Sector Y and into Sector Z. The controlling agency was supposed to activate a Descent Cylinder using the Warning Area. The drone was intended to fly to the point within this cylinder and descend safely to 14000 ft; then fly into ZZZ approach. None of the above occurred. The controlling agency told our frontline and Traffic Management Unit (TMU) that they thought the mission had been canceled and then refused to activate the Warning Area.The drone paperwork was incomplete and didn't include the pertinent information should the drone go 'lost link.' ZZZ Center airspace approved the drone to arrive during peak air traffic levels. Multiple aircraft needed to be vectored to avoid the negative RVSM drone. The drone was unable to take vectors and the drone operator stated that the drone will fly the pre-programmed route. We needed to call the adjacent ATC facility ZZZ Approach and advise them to move everyone out of the way because we didn't know where it was going. In short; the controlling agency should have been aware that the Drone mission was not canceled. Then when they realized that it was inbound; instead of throwing up their hands; the controlling agency should have activated the sterile Descent Cylinder. Additionally; ZZZ Center Airspace did not provide TMU or the South Area with the proper information regarding the drone and more importantly they allowed the drone mission to be filed through one of the busiest times of the day. Recommendation: Better coordination.,37,Cluster 37,2.4352167,3.8576639,Military,Descent
2069160.0,2024-01-01,2024-01,Aircraft X was departing ZZZ1 to ZZZ. ZZZ1 is located 2NM north of ZZZ and requested IFR opposite direction departure off RWY X at ZZZ1 from the ZZZ Local Controller. The Local Controller issued a heading of 360 maintain 8000 Ft. to the ZZZ1 LC (Local Control). Aircraft X then departed ZZZ1 and checked in with me on the Re XXX.XX Freq. They stated 'Aircraft X departing ZZZ1 climbing to 8000 heading 260.' I initially did not hear the 260 heading as it was garbled and we currently had frequency issues on several frequencies. I verified that Aircraft X was indeed inbound to ZZZ and after they confirmed I issued a 6500 ft. altitude and to expect visual approach to Rwy XX at ZZZ. The aircraft was turning pretty quickly and looked as though they were turning past a 360 heading so I assigned heading 360 again. The aircraft readback heading 360. The aircraft was indeed turning beyond 360 and the aircraft's momentum took it into a 8000 and 8500 Ft. MVA west of ZZZ. As soon as I saw it making a westbound turn I issued an immediate heading of 020 and then a low altitude safety alert and a further turn to 060. The aircraft was then vectored to Rwy XX at ZZZ. The pilot was given a Brasher Warning after landing and after questioning the pilot to why they turned westbound; they replied that ZZZ1 had issued a heading of 260; climb and maintain 8000. An ODO (Opposite Direction Operation) departure request such as this one is extremely common between ZZZ1 and ZZZ. The ZZZ1 LC apparently issued a 360 maintain 8000 instruction but missed a 260 maintain 8000 readback from Aircraft X. The controllers at ZZZ1 should excercise the same practices as we do at FAA facilities and have some sort of direct supervision in the tower cab to assist in catching these types of errors. The pilot of Aircraft X stated that they were familiar with the area and the high terrain yet he did not question a westbound heading into a mountain range 5 to 7 NM west of our airports. I believe there was a lack of attention to detail on behalf of Aircraft X; ZZZ1 and ourselves at ZZZ.,37,Cluster 37,2.6789997,3.4612098,Air Carrier,Initial Climb
2069164.0,2024-01-01,2024-01,Aircraft X was cleared to cross DNW at or above 140; the ILS Z approach into JAC. I noticed Aircraft X descended to 136 and told him that he is supposed to cross DNW at or above 140. The next hit on the radar screen was 131 and I issued a low altitude alert and told him the min MIA is 136. He said he was correcting and then climbed back up to 140 before he got to DNW.,37,Cluster 37,2.3265579,3.19567,Fractional,Descent
